"oktmo";"year";"reg_num";"mo_name";"reg";"reg_name";"fd";"fd_desc";"mun_type";"mun_desc";"broken_roads";"people_without_transport_share";"land_taxed_share";"apartments_kadastr_share";"kids_kindergarden_share";"workers_share";"electricity_consumption";"heating_consumption";"hot_water_consumption";"water_cold_consumption";"gas_consumption";"electricity_consumption_mun";"heating_consumption_mun";"water_hot_consumption_mun";"water_cold_consumption_mun";"gas_consumption_mun";"apartments_square_share";"business";"mun_wages_share_1";"wages_debt_share_mun";"mun_profit_share_1";"failed_wages_debt_share_mun_1";"failed_wages_debt_share_mun_all_1";"kids_leisure_share";"kindergardens_repair";"libraries_alone";"libraries";"parks";"investments_per_capita";"population_average";"requests_all";"requests_winners";"land_for_construction_all";"land_for_preparation";"additional_education_kids_share";"bankruptcy_share";"uncomlited_construction_share";"land_for_construction_share_10000";"people_housing_improved_share";"general_plan";"profit_agro_organization_share";"profit_agro_organization_number";"mun_wages_share_2";"failed_wages_debt_share_mun_2";"failed_wages_debt_share_mun_all_2";"mun_investments";"budget_executed";"budget_deficit";"mun_profit_share_2";"Status";"GRP";"Distance";"all";"ind";"grat";"pop";"bud_ratio";"grat_ratio";"bud_pc_ratio";"dot";"subv";"subs";"communal_index";"weber_index";"reg_eng";"communal_index_1";"communal_index_2";"size";"communal_index_n";"TIK";"contstituencies";"turnout2016";"mean_trn16";"sd_trn16";"sd_trn16_100";"median_trn16";"trn_deviation_median";"trn_dev_median_scale";"DV_turn1";"DV_turn2";"var_trn16";"turn_average_reg16";"turn_mun_reg16";"turn_country16";"turn_mun_con16";"turn_average_reg11";"UR_count16";"UR_share";"mean_ur_share16";"sd_ur_share16";"sd_ur_share16_100";"median_ur_share16";"ur_deviation_median";"ur_dev_median_scale";"DV_ur1";"DV_ur2";"var_ur_share16";"UR_average_reg16";"UR_mun_reg16";"UR_country";"UR_mun_con";"UR_average_reg11";"head_id";"position_title";"name_last";"name_first";"name_patr";"rulestart";"ruleend";"termyears";"returner";"educ_lvl";"edu_sphere";"owner_before";"director_ever";"elected_ever";"job_before";"adm_exp";"varangian";"model";"Petrov_Titkov_2003_2007";"Petrov_Titkov_2006_2010";"ENP_LT";"ENP_Golosov";"all_factories";"state_factories";"statefact_share";"municipal_factories";"munfact_share";"water_repair";"waste_repair";"waste_length";"gas_length";"model_d";"logsubs";"loggrat";"logpop";"logincome"
1611000;2017;1;"Завьяловский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";97,48;1,2;57,6;96;9;;993,8;0,4;0;35,5;0;62,3;0,4;0;1,4;0;24,9;;1847;;55,4;;;55;0;;;;13473;18089;;;;;;0;0;2,04;10,2;1;;;1847;;;;309574;;55,4;0;"215 768.40";3419;309574;163956;212280;18215;0,53;0,314;17,1139366465808;;;66662;;;"Altaisky Krai";;;1;;"ЗавьяловскийАлт";16265;0,43;0,43;0,041;4,093;0,43;0;-0,008178053;1;1;0,001675304;0,41;1,05;0,48;0,9;0,51;2353;0,34;0,376290323;0,045420941;4,54209409;0,37;-0,03;-0,352009663;1;1;0,002063062;0,59;0,57;0,54;0,63;0,37;"221978";"Глава Администрации Завьяловского района";"Губерт ";"Николай ";"Александрович";2012;;4;1;2;"Agriculture";0;1;0;"Public enterprises";0;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;11,1073903544119;12,2656614369418;9,80305929770164;12,6429524378431
1612000;2017;1;"Залесовский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";10,04;0,200000000000003;55;100;12,8;;990;0,32;;18,9;;40;0,3;;0,8;;22,9;;1472;;50,2;;;46,4;0;;;;1261;14030;;;;;;;;0,34;17,3;1;;;1472;;;;226723;;50,2;0;"215 768.40";3419;226723;118932;166711;14041;0,525;0,265;16,1598717034925;16265;;42655;;;"Altaisky Krai";;;1;;"Залесовский";11930;0,43;0,43;0,041;4,093;0,43;0;-0,008178053;1;1;0,001675304;0,41;1,05;0,48;0,9;0,51;2081;0,4;0,376290323;0,045420941;4,54209409;0,37;0,03;0,383215985;2;1;0,002063062;0,59;0,67;0,54;0,74;0,37;"220000";"Глава Администрации Залесовского района";"Ермоленко ";"Андрей ";"Алексеевич";2012;2017;4;0;;;;;;;;;"contract";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,009315;;;;0;10,6608997793428;12,0240170533645;9,54895317309651;12,3314842870176
1613000;2017;1;"Заринский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";45,02;3;41,2;84,2;2;;1524;0,23;0;26,6;0;37,8;0,3;0;0,8;0;22,3;;824;;59,4;;;24,9;0;;;;4270;17608;;;;;;0;0;0,55;2,8;1;;;824;;;;241108;;59,4;0;"215 768.40";3419;241108;122525;163655;17752;0,508;0,321;13,6930940481599;10094;;34103;;;"Altaisky Krai";;;1;;"Заринский";14099;0,44;0,43;0,041;4,093;0,43;0,01;0,094737327;2;1;0,001675304;0,41;1,07;0,48;0,92;0,51;2893;0,46;0,376290323;0,045420941;4,54209409;0,37;0,09;1,118441633;2;2;0,002063062;0,59;0,77;0,54;0,85;0,37;"221964";"Глава Администрации Заринского района";"Азгалдян ";"Виктор ";"Шагенович";2011;;5;1;3;"Agriculture";0;0;0;"Local administration (the same area)";1;1;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,001473;;0;;0;10,4371406359415;12,0055158324721;9,7761086232063;12,3930002448714
1614000;2017;1;"Змеиногорский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";76,59;0,900000000000006;35;26;56,9;;969;0,25;;30;;67,5;0,14;;1,2;;25,1;;1248;;74,1;;;56,9;0;;;;84983;19435;;;;;;;;0,38;5,4;1;;;1248;;;;330453;;74,1;0;"215 768.40";3419;330453;200252;166525;19550;0,606;0,496;17,0029843066632;5563;;26045;;;"Altaisky Krai";;;1;;"Змеиногорский";17076;0,4;0,43;0,041;4,093;0,43;-0,03;-0,316924195;1;1;0,001675304;0,41;0,98;0,48;0,84;0,51;2391;0,35;0,376290323;0,045420941;4,54209409;0,37;-0,02;-0,229472055;1;1;0,002063062;0,59;0,59;0,54;0,65;0,37;"221959";"Глава Администрации Змеиногорского района Алтайског края";"Афанасьев ";"Борис ";"Александрович";2014;;2;0;3;"Agriculture";0;0;1;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,002483;;0;;0;10,1675810901793;12,0229007272814;9,87483084328632;12,7082197193867
1615000;2017;1;"Калманский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";96,99;1,5;30,1;97;11,4;;900;0,23;0;30,5;12,6;59,3;0,11;0;0,6;24;23,7;;1298;;30,5;;;49;0;;;;24653;13050;;;;;;0;0;2,5;4,1;1;;;1298;;;;251644;;30,5;0;"215 768.40";3419;251644;140962;181064;13179;0,56;0,28;19,2830651340996;13860;;56522;;;"Altaisky Krai";;;1;;"Калманский";11747;0,34;0,43;0,041;4,093;0,43;-0,09;-0,934416478;1;1;0,001675304;0,41;0,83;0,48;0,71;0,51;1399;0,35;0,376290323;0,045420941;4,54209409;0,37;-0,02;-0,229472055;1;1;0,002063062;0,59;0,59;0,54;0,65;0,37;"220000";"глава Калманского района";"Головин";"Сергей ";"Васильевич ";2015;2017;1;0;;;1;1;0;"Private business";0;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;0;14,2;0;10,9423852218766;12,1066058389096;9,47654341275084;12,4357706692817
1616000;2017;1;"Каменский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";86,19;2;60;78;19;;420;0,14;;33;;56;0,14;;3,2;;21,6;;597;;71,4;;;54,6;0;;;;2199;51796;;;;;;;;1,22;2,2;1;;;597;;;;582670;;71,4;0;"215 768.40";3419;582670;304487;365123;52187;0,523;0,373;11,2493242721446;10412;;76528;;;"Altaisky Krai";;;1;;"мунрКаменский";41407;0,39;0,43;0,041;4,093;0,43;-0,04;-0,419839576;1;1;0,001675304;0,41;0,95;0,48;0,81;0,51;5038;0,31;0,376290323;0,045420941;4,54209409;0,37;-0,06;-0,719622487;1;1;0,002063062;0,59;0,52;0,54;0,57;0,37;"220000";"Глава Администрации Каменского района";"Штин";"Владимир";"Григорьевич";2000;2016;16;1;2;"Agriculture";;1;1;;;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,00005;;;;0;11,2454119659201;12,8079895620989;10,8550682051887;13,2753762673369
1617000;2017;1;"Ключевский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";88,89;1;68;79;5;;1244;0,2;;27;;70,1;0,2;;1,9;;31,2;;1266;;49,3;;1,5;54,5;0;;;;183;16623;;;;;;;;0,34;2,2;1;;;1266;;1,5;;305283;;49,3;0;"215 768.40";3419;305283;168185;221736;16788;0,551;0,274;18,3650965529688;10768;;73870;;;"Altaisky Krai";;;1;;"Ключевский";14244;0,44;0,43;0,041;4,093;0,43;0,01;0,094737327;2;1;0,001675304;0,41;1,07;0,48;0,92;0,51;1725;0,28;0,376290323;0,045420941;4,54209409;0,37;-0,09;-1,08723531;1;0;0,002063062;0,59;0,47;0,54;0,52;0,37;"221963";"Глава Администрации Ключевского района Алтайского края";"Капура ";"Надежда ";"Арсентьевна";2012;2016;4;0;3;"Economics";0;0;0;"Regional Administration";0;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;11,2100620705228;12,3092427640187;9,71854255753546;12,6289944942378
1618000;2017;1;"Косихинский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";57,95;0,400000000000006;55;98;10;;558;0,33;;28;14,5;48,5;0,27;;2,9;66,8;25,7;;942;;35,7;;;55,6;0;;;;2314;16065;;;;;;;;3,3;7,2;1;;;942;;;;319644;;35,7;0;"215 768.40";3419;319644;182706;251473;16199;0,572;0,213;19,896918767507;22588;;91947;;;"Altaisky Krai";;;1;;"Косихинский";14802;0,42;0,43;0,041;4,093;0,43;-0,01;-0,111093434;1;1;0,001675304;0,41;1,02;0,48;0,88;0,51;2695;0,43;0,376290323;0,045420941;4,54209409;0,37;0,06;0,750828809;2;1;0,002063062;0,59;0,72;0,54;0,79;0,37;"221962";"Глава Косихинского района";"Татарников";"Константин ";"Александрович";2004;;12;1;2;"Economics";0;1;1;"Private business";0;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,005;;0;0;0;11,4289676030728;12,4350909068941;9,68439827154996;12,6749631554884
1619000;2017;1;"Красногорский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";89,19;6,7;85;43,5;15,2;;938;0,3;0;33;10;60;0,1;0;1,4;0;23,5;;489;;43,7;;;55,4;0;;;;553;15235;;;;;;0;0;7,53;4,4;1;;;489;;;;281057;;43,7;0;"215 768.40";3419;281057;141532;219121;15260;0,504;0,22;18,4481128979324;23712;;55884;;;"Altaisky Krai";;;1;;"КрасногорскийАлтай";12665;0,43;0,43;0,041;4,093;0,43;0;-0,008178053;1;1;0,001675304;0,41;1,05;0,48;0,9;0,51;2419;0,44;0,376290323;0,045420941;4,54209409;0,37;0,07;0,873366417;2;1;0,002063062;0,59;0,74;0,54;0,81;0,37;"221959";"Глава Администрации Красногорского района";"Дайбов";"Михаил";"Иванович";2008;2016;8;1;2;"Pedagogy";0;0;1;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;0;0;10,9310333927704;12,2973793676359;9,63135069141981;12,5463127747203
1620000;2017;1;"Краснощёковский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";99,29;9,5;54,6;41,6;1,1;;1372;0,19;0;35;0;82,4;0,21;0;0,9;0;26;;590;;81,7;;;62,1;0;;;;5688;16816;;;;;;0;0;0;12,7;1;;;590;;;;235135;;81,7;0;"215 768.40";3419;235135;111118;144248;16947;0,473;0,387;13,9828139866794;4394;;15837;;;"Altaisky Krai";;;1;;"Краснощековский";14817;0,44;0,43;0,041;4,093;0,43;0,01;0,094737327;2;1;0,001675304;0,41;1,07;0,48;0,92;0,51;2590;0,39;0,376290323;0,045420941;4,54209409;0,37;0,02;0,260678377;2;1;0,002063062;0,59;0,66;0,54;0,72;0,37;"221972";"Глава Администрации Краснощековского района";"Петров";"Евгений";"Владимирович";2008;2016;8;1;2;;;;1;"Local administration (other area)";0;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,009709;;;;0;9,67010425349173;11,8792893194562;9,73008609311673;12,3679150962678
